Geneid	HISAT2 on data 6: aligned reads (BAM)
653635	332
100422834	0
645520	0
79501	0
729737	204
100507658	9
100132287	49
100288646	3
729759	0
100131754	1912
81399	0
100287654	3
100133331	171
100288069	32
100287934	74
400728	26
79854	132
643837	1526
100506327	230
284593	16
284600	68
100130417	10
148398	32
26155	7918
339451	1364
84069	4
84808	24
57801	1170
9636	896
375790	21370
401934	2
54991	1134
406984	0
406983	0
554210	0
100506376	0
254173	8
8784	126
7293	102
51150	7978
126792	3128
388581	48
118424	3658
6339	2024
116983	26102
126789	626
54973	6510
80772	2856
83756	34
1855	16672
54587	2758
100506404	4
54998	4734
81669	5920
148413	1484
55052	3784
441869	1834
643965	760
100288271	34
64856	3800
219293	208
83858	1392
55210	1974
339453	1750
29101	11130
643988	2444
142678	8958
8510	2
984	2960
728661	10888
8511	4
728642	1684
100506482	3770
9906	702
65220	3724
2782	116460
163688	92
339456	62
85452	938
2563	16872
5590	22194
100506504	708
199990	714
100128003	394
6497	13564
79906	846
100129534	362
11079	6772
5192	1846
9651	10142
55229	3864
388585	178
115110	57
100133445	58
8764	1330
100506589	20
127281	7092
79258	16
100287898	30
140625	2
440556	1008
63976	900
100422968	0
27237	138
1953	1070
693135	0
127262	24250
49856	1210
7161	12
100506635	0
57212	3196
148870	22
388588	14
57470	8784
9731	4646
1677	890
339448	1494
100133612	14
728716	20
284661	2
55966	2848
261734	2584
8514	62960
26038	61920
6146	13045
388591	1268
23463	9024
148645	4
390992	0
387509	2310
11332	20586
100130071	32
54626	2
83715	52
100422975	0
8718	2986
57449	14764
79707	3670
80835	12
3104	1378
9903	6656
148479	2438
90326	532
55735	6068
100505887	0
23261	33766
100505935	210
100505910	0
9341	4588
8863	6020
10911	0
3604	2
11315	17546
54206	4244
50651	4188
473	25784
100505990	0
2023	49132
100505975	70
765	0
155184	0
6518	186
100302218	0
80045	32
407040	2
727721	18
9563	2466
80176	830
100506022	56
84275	1578
199953	2752
5293	3276
644997	0
22883	178420
645010	4
56998	6070
84328	1936
64802	1022
116362	164
10277	10950
23095	83047
100287506	22
5226	7192
378708	1306
1325	400
1676	2252
5195	3816
54897	346
148345	20
23435	17090
10747	1062
6723	4148
5394	5476
2475	15392
10218	30
29914	1266
57540	1412
26232	13964
93611	20780
26270	952
10459	1084
374946	98
100506086	266
57085	262
100506273	0
284498	0
100506310	0
100506116	0
4524	3912
1185	14952
4878	278
4879	2
26829	0
90231	2960
5351	3688
9927	27028
60672	1524
943	12
7133	648
55187	24784
677885	16
9249	990
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	2
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
729368	0
441873	0
440563	0
645359	0
401940	0
343068	0
391002	0
343070	0
400736	0
391003	0
654348	0
391001	0
729516	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	236
10630	432
7799	24672
23254	11926
200197	106
55092	354
114827	186
79180	14384
11330	12
63036	20
51032	140
842	1488
23341	6322
100507192	34
79814	530
645317	28
84301	534
6248	448
23207	28764
284723	268
388595	4
54751	352
440567	1216
729614	728
23013	13222
7709	3424
149563	334
27129	150
1187	10
1188	14
348487	826
1969	334
100506484	0
128272	56
79363	696
54455	3082
26099	3148
374955	14
55707	1272
114819	2935
26871	3
100506533	36
100133301	12
55672	1836
84809	2906
11209	126
26869	0
729574	0
284729	18
729587	0
6060	3
11223	42
100506687	53
26870	0
9696	3535
4237	22
23400	30312
6390	6366
11240	9156
400743	0
29943	0
51702	0
23569	22
353238	0
55920	5194
55160	4222
81569	22
84966	9738
127707	4
5081	1052
80834	0
8659	3012
100302276	0
126917	4352
23352	23220
23065	6972
51154	3800
246181	176
22977	80
100506730	820
8574	1674
54896	1376
832	18278
644075	154
644083	8
440574	7827
4681	24064
3362	606
255104	274
54546	0
23252	5260
30814	0
5320	0
5322	362
26279	6
64600	0
391013	2
127733	1956
127731	26
339505	222
55450	122608
79594	2902
163933	2172
978	54
65018	53224
1650	7748
57576	4974
400745	7648
50809	22005
8672	32868
100302155	6
1889	5606
100506824	4
100506801	12
84224	657
249	3148
5909	38888
84196	10050
401944	16
3339	1182
23436	0
10136	0
29092	502
998	20452
54361	266
9923	3772
2046	154
712	270
714	332
713	332
2048	2670
100422914	0
646262	0
729059	10
23028	7572
100422866	0
7798	18800
3352	120
10236	12120
80818	4406
148898	520
6920	218
55616	1540
1870	4
3399	1396
259283	8
729856	0
6135	11536
6924	3248
100506963	74
57095	15146
11313	2454
2582	1746
3155	1154
2517	1414
1269	0
55629	574
10772	220
127294	4
58985	8
163702	112
284632	0
57822	32
90529	3312
57185	23342
11123	242
100506985	372
400746	10
10250	8820
25932	9926
864	80
25949	3074
57035	5996
6007	64
23585	8146
6006	80
55219	4688
26119	1212
57134	7238
100507013	0
57190	8394
56181	7148
646471	1380
79000	246
164091	1672
3925	87106
5051	680
2134	13442
7780	20
84676	8
149420	2522
79927	76
100128346	56
51042	148
10256	586
378807	6
64793	2136
83442	5700
91544	3178
1043	50
55057	4
257101	20
79727	0
79947	4636
3151	3386
6195	922
100302190	0
8289	10768
55650	948
84243	2170
2810	0
54707	1456
63906	1814
8431	0
10726	14284
126695	14
646567	0
388610	3662
115572	46
6548	7822
23038	12476
84065	4280
644961	108
84958	90
9064	1178
8547	20
388611	22
2827	946
10163	2574
27245	8026
2268	460
2537	4358
199870	1838
23673	15070
5511	3416
677774	0
9473	998
6118	3980
27293	88
55113	404
2140	904
653566	736
5724	128
22826	9988
93974	10856
83667	1834
54797	890
65979	2512
8420	622
1104	492
6080	12
26768	10
54952	1008
85028	390
692212	24
677838	88
677825	32
692073	38
115273	18
6883	1002
26824	2
10691	728
51441	6136
4985	414
2035	1732
399474	606
6429	7976
51102	3252
10076	5306
100288450	0
4146	56
100129196	54
7805	918
9672	32058
9698	14104
692234	2
692235	0
692200	0
28997	14
79570	994
9410	1440
51538	6936
2170	8166
347735	72
149086	0
284551	0
64129	1148
3061	286
553115	7188
1307	6866
576	64106
100423028	0
90853	54
8073	20216
100507229	48
10657	11706
55116	1426
23633	15118
200081	4950
79140	662
55721	894
149069	170
100507457	182
56063	872
8668	7708
339483	704
84734	20
3932	64
3065	1408
65108	13540
100128071	112
81629	242
55108	12684
728116	196
653121	1704
339487	1162
5928	10746
81493	180
57648	6286
8565	20176
64766	1948
252995	5844
3208	28894
113452	1862
127544	3742
100505584	26
204	2972
113451	3958
55223	1500
149076	4458
1912	7810
7579	384
114784	3652
127540	0
84970	22
693137	0
2709	120
127534	12
2707	120
2701	262
113444	4916
58512	22836
100506144	398
9204	3586
79830	620
100506168	13132
6421	17220
9202	10362
79932	14008
23154	121756
339488	652
5690	6122
127703	22664
63967	542
192670	2764
26523	5850
192669	688
27285	110
54936	2024
1296	70
27095	3948
55700	37596
9967	14318
79729	1428
55194	494
83931	4526
100506594	0
84967	2026
127700	1888
64960	2808
1441	292
2899	10576
100422898	0
728431	58
80149	44
64769	11136
79753	1570
7802	876
29889	2638
284654	36
54955	1656
55143	148
284656	4148
149175	3862
79693	1428
127687	3288
4520	2606
3633	2646
10946	5302
2275	716
51118	2632
5453	1270
64121	2284
26292	406
100506806	2
81025	40
54933	426
79647	10208
4725	14338
23499	44766
100292290	0
643314	492
353500	1572
