"SRR1554534"	"SRR1554536"	"SRR1554537"	"SRR1554539"	"SRR1554566"	"SRR1554568"
"A1BG"	472	122	610	316	698	386
"A2M"	9834	12036	8078	14542	12502	7484
"NAT1"	24	24	52	48	80	46
"NAT2"	12	0	4	8	8	6
"SERPINA3"	350	76	14	48	12	0
"AADAC"	0	0	0	0	0	0
"AAMP"	10124	3000	13840	9306	17790	12286
"AANAT"	22	0	12	32	28	14
"AARS1"	42738	6000	25806	45468	26956	22138
"ABAT"	40974	16920	29522	47412	40318	34280
"ABCA1"	1002	1680	4214	1388	8174	14374
"ABCA2"	102196	9300	32772	76710	27216	25278
"ABCA3"	30214	4830	36393	28343	26896	23774
"ABCB7"	762	426	4322	1190	4516	4404
"ABCF1"	0	0	0	0	0	0
"ABCA4"	130	46	66	76	1294	88
"ABL1"	8212	3532	29192	5914	44240	35576
"AOC1"	0	0	0	0	0	0
"ABL2"	3658	844	19646	7064	14508	14720
"ABO"	66	176	20	122	18	24
"ABR"	70412	16772	68722	80332	56558	46814
"ACAA1"	6058	2530	5790	5254	8852	5410
"ACACA"	17046	3150	39942	23132	42800	39448
"ACACB"	5032	3072	3146	2188	4128	2540
"ACADL"	46	124	332	114	568	360
"ACADM"	3666	3848	7490	5552	11622	8896
"ACADS"	990	1192	504	932	1088	590
"ACADSB"	3940	1682	5190	8210	4956	4182
"ACADVL"	20634	13278	24328	16066	30176	18280
"ACAT1"	3264	2688	9860	5194	9430	7256
"ACAT2"	2504	600	8874	3784	14100	9308
"ASIC2"	3276	312	2020	3294	234	160
"ASIC1"	5912	3260	30446	7292	25464	22606
"ACHE"	4172	486	1526	3662	1484	998
"ACLY"	14660	2588	51572	18340	86364	65478
"ACO1"	2570	1986	4252	2532	7076	5208
"ACR"	22	10	10	30	18	10
"ACO2"	26310	9240	13276	23456	17570	11716
"ACOX1"	4734	4124	17127	6606	16406	14170
"ACP1"	6804	1850	11676	9044	12310	10648
"ACP2"	4668	1108	4332	4906	5636	4118
"ACP5"	36	34	6	18	26	8
"ACPP"	2	0	8	8	4	8
"ACRV1"	56	32	112	90	198	172
"ACTA1"	234	26	130	270	206	236
"ACTA2"	3106	8358	594	3794	1894	658
"ACTB"	140000	28328	371419	135385	405830	316328
"ACTC1"	348	152	30	484	306	258
"ACTG1"	71958	14664	330394	56906	338160	282720
"ACTG2"	102	570	24	188	126	56
"ACTN4"	33486	9082	24302	28040	26666	22572
"ACTL6A"	344	630	6184	654	8596	5922
"ACTN1"	18218	3396	6308	19826	13102	8512
"ACTN2"	7594	768	54908	12214	1568	1356
"ACTN3"	56	6	46	10	28	38
"ACVR1"	1326	1130	12584	2264	9144	7156
"ACVR1B"	10824	1814	29940	11944	25188	31858
"ACVR2A"	1718	610	15898	3264	15568	16222
"ACVR2B"	1646	534	19682	3178	25434	21680
"ACVRL1"	2276	766	1076	1018	1982	1178
"ACY1"	640	760	744	530	1096	638
"ACYP1"	1186	370	3412	1434	4042	3608
"ACYP2"	3100	1890	1008	4516	922	1196
"ADA"	322	310	192	286	400	202
"ADAM8"	328	164	770	328	628	472
