"logFC"	"P.Value"	"adj.P.Val"
"SOX11"	9.98193770840245	3.84128361488641e-11	4.07099237505662e-07
"MEX3A"	9.29013693722745	1.35066717960625e-10	7.15718538473353e-07
"MBP"	-8.96302216181985	2.98096800331904e-10	1.05307662997251e-06
"SOX4"	8.2657969716073	6.69807955670065e-10	1.77465617854784e-06
"SLA"	7.95263316947307	1.25793777581856e-09	2.55817589568438e-06
"GPC2"	7.51370718494371	1.44829735554881e-09	2.55817589568438e-06
"FBN3"	7.44264039886187	3.25109231299165e-09	4.92215376186936e-06
"EZH2"	7.43329462468599	3.89195136528951e-09	5.15586257116728e-06
"ST8SIA2"	8.53181798779941	5.06860903689068e-09	5.96856873032972e-06
"AQP4"	-7.75494219907947	6.29974224625747e-09	6.67646683258367e-06
"CELSR1"	7.74966871261708	7.0394807941898e-09	6.78221976880214e-06
"VASH2"	7.34716404155845	8.88875365155416e-09	7.08512766887472e-06
"ZNF300"	7.22891264212953	9.11815664090635e-09	7.08512766887472e-06
"ADAMTS7"	6.6328745121268	9.35948172902869e-09	7.08512766887472e-06
"ERMN"	-7.30942764379652	1.25040820345552e-08	8.8345507601477e-06
"MOBP"	-7.18877027612224	1.43009575419501e-08	9.47259675184922e-06
"LMNB1"	6.81244335122198	1.87540633951109e-08	1.16915037565521e-05
"FGF1"	-6.10920836774548	2.29485239238012e-08	1.33285276465876e-05
"NA..1018"	7.63034987718202	2.38952656430614e-08	1.33285276465876e-05
"DCX"	7.98553710428235	2.59754681764669e-08	1.37644005867098e-05
"F2R"	6.34183089512716	2.96314995716736e-08	1.49540301171713e-05
"KIF11"	6.55900883839098	3.87562071150619e-08	1.86699219547921e-05
"SPARCL1"	-6.25096513497121	4.77498084376874e-08	2.20022812966353e-05
"FAT4"	6.18780442800319	5.25702712427302e-08	2.29853807899841e-05
"KIF15"	6.40869952131839	5.42210341337613e-08	2.29853807899841e-05
"SCUBE1"	6.09316449130599	8.62437379359092e-08	3.51542744094141e-05
"CD24"	7.04769261392254	9.09602410154116e-08	3.57035790474568e-05
"PLP1"	-6.6934270740064	9.87852626515391e-08	3.65022355296209e-05
"DPYSL3"	5.59203312999799	9.98834525720897e-08	3.65022355296209e-05
"IGFBPL1"	8.59058584786538	1.04004754523237e-07	3.6741412947909e-05
"DACT1"	6.54499691549243	1.12581830375514e-07	3.77564379761187e-05
"MYCN"	6.06453521651971	1.16251617078282e-07	3.77564379761187e-05
"TSPAN18"	5.42724816438496	1.17565809889783e-07	3.77564379761187e-05
"CBX2"	6.6115977873507	1.21776517410415e-07	3.79584568092817e-05
"VANGL2"	5.44824261315208	1.30287271499473e-07	3.93596433167233e-05
"LPAR2"	6.51585488699867	1.33699486639181e-07	3.93596433167233e-05
"FNBP1L"	5.5385869742993	1.52054356501432e-07	4.35532991946533e-05
"MYH11"	-5.76697854098008	1.74560637489111e-07	4.83109388394046e-05
"SRGAP1"	5.50784774577782	1.77781337491676e-07	4.83109388394046e-05
"FBXO2"	-5.72257668414326	1.89901540794952e-07	4.93206780622681e-05
"ARHGAP11A"	5.74982041922017	1.9080466130902e-07	4.93206780622681e-05
"RAPGEF4"	-5.19746224158351	2.09072686212669e-07	5.27560078209967e-05
"CSRP2"	5.26968709445804	2.21510755691508e-07	5.40964285270907e-05
"RAI14"	5.5296842958362	2.29519250474077e-07	5.40964285270907e-05
"PADI2"	-5.39905639874051	2.29697988650602e-07	5.40964285270907e-05
"RGS4"	-8.6380988279247	2.44082495789499e-07	5.51250831339674e-05
"ALDOC"	-5.09985250893875	2.44468664587325e-07	5.51250831339674e-05
"SMC4"	5.7881612068917	2.79126601149203e-07	6.16288274787345e-05
"KLHL1"	6.54405099890829	3.17432451606763e-07	6.73264759923915e-05
"BACH2"	6.18386899116104	3.1763764857705e-07	6.73264759923915e-05
"KIF26A"	5.57636614706198	3.47019052995381e-07	7.21119200714716e-05
"SFRP1"	5.54147510866385	3.80026632097703e-07	7.74523509032972e-05
"MEX3B"	5.53012856733135	3.90785446485881e-07	7.81423426765541e-05
"SYNE2"	5.02819023564917	4.50290200436415e-07	8.81883212145506e-05
"SOX5"	5.63584382134285	4.57667264276305e-07	8.81883212145506e-05
"CDK2"	5.03510853337203	4.74761600976984e-07	8.96445635137264e-05
"CBLB"	5.16298245070956	4.82937310772972e-07	8.96445635137264e-05
"S100B"	-5.25712736628667	4.90600555179857e-07	8.96445635137264e-05
"PRR11"	4.99649303246802	5.11739446861884e-07	9.19222823363093e-05
"NFIB"	5.11442359812247	5.22371427639367e-07	9.22682065020335e-05
"BAZ1A"	4.87352145560564	5.50014291307724e-07	9.55582206439222e-05
"CENPF"	7.93314707013278	5.9560776894475e-07	0.000101810502181878
"SOWAHA"	-5.18242326478482	6.08918603800916e-07	0.000102433640683843
"SNCAIP"	4.767112350619	6.24293908586155e-07	0.000103379169424939
"CCK"	-6.25083292963947	6.47039100736508e-07	0.000105497236763162
"PLEKHG2"	4.76614057232156	6.90895906798893e-07	0.000110941133640222
"IL17RD"	4.76411479684971	7.41229182235323e-07	0.00011545078366061
"CA12"	5.48932411767399	7.57071562624569e-07	0.00011545078366061
"GJC1"	4.84500877544361	7.57642020922305e-07	0.00011545078366061
"LINC01551"	5.62380786992909	7.6255471374247e-07	0.00011545078366061
"PLEKHB1"	-4.965869119176	7.82857983016049e-07	0.000116525484741578
"THBS1"	4.97600810063309	7.9587218974525e-07	0.000116525484741578
"TGFBR1"	4.74224350576995	8.12288449771172e-07	0.000116525484741578
"TRIM67"	5.69965921355077	8.13633314859105e-07	0.000116525484741578
"TPX2"	6.18522346397526	8.37906073526487e-07	0.000118401714229783
"TET1"	4.79946535412749	8.90162494890764e-07	0.000124130817379636
"FGFBP3"	4.7266041882644	9.81496429568409e-07	0.00013202547524423
"DISP3"	4.91014659015827	9.95691409570355e-07	0.00013202547524423
"SCN1B"	-6.44858452409866	1.00378219296032e-06	0.00013202547524423
"DCHS1"	4.59480741680037	1.00468010936554e-06	0.00013202547524423
"RND3"	5.13216746392007	1.00906430409347e-06	0.00013202547524423
"TSPAN2"	4.60684171976813	1.04880435139187e-06	0.000135356090472414
"LINC00461"	4.54958075667725	1.06006373931028e-06	0.000135356090472414
"PRKX"	4.84984603963534	1.09665821978889e-06	0.000138012046031586
"USP3"	4.48881238331529	1.10690921991742e-06	0.000138012046031586
"CDON"	5.22880460787872	1.14980985246557e-06	0.000141133410857465
"VCAN"	4.57717707988966	1.15857772642003e-06	0.000141133410857465
"NYNRIN"	4.59172976067492	1.21756758069029e-06	0.000146633877501769
"AUTS2"	4.85402371608222	1.25018783735661e-06	0.000148870682025902
"PELI2"	4.51674803313081	1.31902353348517e-06	0.000151768598619123
"MID1"	4.43820514018883	1.33367296889561e-06	0.000151768598619123
"TGIF2"	4.74439572732426	1.34421877452692e-06	0.000151768598619123
"XPR1"	5.40258379106414	1.35603573230854e-06	0.000151768598619123
"ATP11C"	4.63106515644137	1.36093914043021e-06	0.000151768598619123
"NRGN"	-7.18930376438022	1.36952657835846e-06	0.000151768598619123
"PXDN"	4.5864804721889	1.37851143849626e-06	0.000151768598619123
"BHLHE22"	6.07657859743624	1.38908794735374e-06	0.000151768598619123
"MN1"	5.14464907714679	1.4440033716569e-06	0.000156158650334896
"IGDCC3"	4.55526179562914	1.46351147317567e-06	0.000156669642350664
"SYT6"	5.31331937785839	1.5208594838558e-06	0.000161180688099038
"YBX1"	4.42788275841372	1.59561075953957e-06	0.000164996040140209
"ZNF117"	4.75808271400819	1.59817441377369e-06	0.000164996040140209
"GAL3ST4"	4.48207065688027	1.60356596852628e-06	0.000164996040140209
"ZNF217"	4.36275203185435	1.6227570215457e-06	0.000165365181868666
"CRACD"	5.29557266568734	1.64132542947636e-06	0.000165664446681814
"LOC100128288"	4.35076757899313	1.70104868159632e-06	0.000170072772901489
"PAFAH1B3"	4.55804910518384	1.7285662183478e-06	0.000171208829738785
"MDK"	4.42642645060095	1.78444537512757e-06	0.000174237141119504
"GLI3"	5.09480397337549	1.7920219269698e-06	0.000174237141119504
"BEND3"	4.79874200018805	1.85872769181857e-06	0.000179079964344483
"PHF21B"	4.59959232671718	1.89909476531628e-06	0.00018132077768308
"TIMELESS"	4.8984311591904	1.95417245718899e-06	0.000184913568761508
"CEP135"	4.57983583943513	2.10746988181133e-06	0.00019765456466758
"TEAD2"	4.3492467942206	2.1989095782085e-06	0.000203149520572755
"POU3F2"	4.40466711320692	2.20439657160472e-06	0.000203149520572755
"TTC28"	4.82920754777529	2.22574544080307e-06	0.000203348708462335
"CARHSP1"	4.3295802948264	2.29498844293084e-06	0.000207882799300693
"CLMP"	6.43814458428432	2.36652583145277e-06	0.000212546108150309
"COL3A1"	5.18097011545378	2.38831060373489e-06	0.000212700132591449
"SEMA3F"	4.44119949896513	2.41709016307556e-06	0.000213469346235624
"WDR76"	4.46301008094789	2.54132548222267e-06	0.000222586507938808
"TRIOBP"	4.30584437436349	2.62758453689393e-06	0.000228255253459031
"NKAIN1"	5.85583264099267	2.85668007874132e-06	0.000242741239790553
"TMEM131L"	4.98936658720493	2.87491532010043e-06	0.000242741239790553
"CAMK2A"	-5.46815472486842	2.87583577178026e-06	0.000242741239790553
"MCM2"	5.06067547741053	2.88595925774766e-06	0.000242741239790553
"SLC35F2"	4.81742487138311	2.93038785178841e-06	0.000244537405143729
"MSI1"	4.3121349126731	3.03077706460275e-06	0.00025093886977078
"LCORL"	4.56189015980874	3.05691702179781e-06	0.000251141136410955
"EFNB1"	4.50646589221951	3.12338132168746e-06	0.000254563087350406
"NCKAP5"	4.17085688899022	3.146609213333e-06	0.000254563087350406
"MT3"	-5.11180596116113	3.30852020471323e-06	0.000265634069163264
"TNC"	6.08794733870302	3.33438188563888e-06	0.000265697588150382
"VWA5B2"	-4.59972059818893	3.55165059887091e-06	0.000280898455573387
"ANTXR2"	4.31117140023017	3.64246648734618e-06	0.000285947109873295
"KRBA2"	4.54989504630634	3.72125783773062e-06	0.000289984489443155
"MMS22L"	4.43034815904239	3.87354619234359e-06	0.000299648485740564
"BCAS1"	-4.56438513553798	4.00088242324133e-06	0.000306813237746722
"SLCO1A2"	-4.51392933876499	4.02406492232444e-06	0.000306813237746722
"MYT1"	4.29007907484557	4.14579318897211e-06	0.000313836544405189
"PANTR1"	4.21300512124008	4.3223836488992e-06	0.000324883843340664
"FAM126A"	4.26193679255054	4.36109921780957e-06	0.000325485419086942
"FEZF2"	4.63315821594709	4.40726287307315e-06	0.000326630572928876
"GPR161"	4.9223509417788	4.48789147129298e-06	0.000330296345921965
"AFDN"	5.04291975402927	4.55661482884618e-06	0.000333041406593874
"IGSF3"	5.73403771091265	4.62219780791295e-06	0.000335520906631928
"TACC3"	4.59415276675417	4.67236792286154e-06	0.000336855477867256
"MIR4453HG"	4.27922056336558	4.73574346476316e-06	0.000339117629997027
"KIRREL1"	3.98690609499917	4.97109071921076e-06	0.000353581338538226
"PTGDS"	-4.15085295316268	5.17131758431621e-06	0.000365370825057221
"LBR"	3.98331197934827	5.32576635617821e-06	0.000373791204256799
"RPH3A"	-6.26243731675915	5.47280938083682e-06	0.000381584433013872
"ZNF431"	4.26648450670152	5.58559292072093e-06	0.000385693096625928
"IDH1"	3.92470084872399	5.6954068638321e-06	0.000385693096625928
"LRATD2"	4.21654755484878	5.69839338094462e-06	0.000385693096625928
"CECR2"	4.27264561166574	5.70083600176091e-06	0.000385693096625928
"ZNF551"	4.22624282918814	5.71370222403007e-06	0.000385693096625928
"CCDC112"	4.51568856642214	5.8548866789137e-06	0.000392722082424857
"CCDC88C"	4.3568230606999	5.90210210397417e-06	0.000393399233320241
"TOX3"	4.82276517828143	5.97646824874764e-06	0.000395866315626422
"TUBA4A"	-6.26179116014421	6.02565778358499e-06	0.000396645473232508
"TCF3"	4.1071594821699	6.13012299444846e-06	0.000401031132686202
"FANCI"	4.69199044505872	6.28276041184911e-06	0.000405916230234335
"MCM5"	4.24769375318329	6.30961627679668e-06	0.000405916230234335
"H3.3A"	3.8585539154685	6.31969975360117e-06	0.000405916230234335
"MEIS2"	4.25042938843176	6.55669659557598e-06	0.000416922790685074
"ATAD2B"	4.06406241729156	6.59685998660419e-06	0.000416922790685074
"ZNF253"	4.71429413346466	6.64416478931472e-06	0.000416922790685074
"INSM1"	4.98303345127344	6.68546590148989e-06	0.000416922790685074
"ZNF286A"	4.60063117717012	6.72375169543833e-06	0.000416922790685074
"GADD45G"	3.95140579468671	6.72709918920057e-06	0.000416922790685074
"FABP7"	4.49337493606653	6.76877801742404e-06	0.000417066915282907
"DAB1"	5.20558891949602	6.81928604009705e-06	0.000417750251173113
"HNRNPA1"	4.00346544542808	6.94696070948852e-06	0.000422223632778272
"HMGB2"	4.27896510137922	6.97198865221717e-06	0.000422223632778272
"EPB41"	4.27579484635904	7.15348736694463e-06	0.000430753744970905
"VAV2"	3.88600258065507	7.49848533590859e-06	0.000442651666178669
"GFAP"	-3.95768380869356	7.50021615451352e-06	0.000442651666178669
"CNTLN"	4.09057938471779	7.51023420355574e-06	0.000442651666178669
"APOD"	-4.20478770298914	7.62477757369261e-06	0.000442651666178669
"ZNF738"	4.29247560619912	7.66456503216402e-06	0.000442651666178669
"FABP5"	3.88600736992927	7.67227807228487e-06	0.000442651666178669
"NINL"	3.94114566229436	7.67640316878474e-06	0.000442651666178669
"ISLR2"	5.88637095575112	7.69822367057852e-06	0.000442651666178669
